AGENCY,UPLOADED ON,VALUE
Department of State,2/26/2025,649
Department of State,2/26/2025,616
Department of State,2/26/2025,569
Department of State,2/26/2025,500
Department of State,2/26/2025,500
Department of State,2/26/2025,500
Department of State,2/26/2025,500
Department of State,2/26/2025,500
Department of State,2/26/2025,495
Department of State,2/26/2025,316
Department of State,2/26/2025,300
Department of State,2/26/2025,250
Department of State,2/26/2025,110
Department of State,2/26/2025,100
Department of State,2/26/2025,95
Department of State,2/26/2025,28000
Department of State,2/26/2025,1427654
Department of State,2/27/2025,3946720
Department of State,2/27/2025,2200000
Department of State,2/27/2025,2000000
Department of State,2/27/2025,1776023
Department of State,2/27/2025,1700000
Department of State,2/27/2025,1500000
Department of State,2/27/2025,1500000
Department of State,2/27/2025,1500000
Department of State,2/27/2025,1291563
Department of State,2/27/2025,1250000
Department of State,2/27/2025,1246669
Department of State,2/27/2025,1200000
Department of State,2/27/2025,1118000
Department of State,2/27/2025,1000000
Department of State,2/27/2025,1000000
Department of State,2/27/2025,1000000
Department of State,2/27/2025,1000000
Department of State,2/27/2025,1000000
Department of State,2/27/2025,991008
Department of State,2/27/2025,986679
Department of State,2/27/2025,1100000
Department of State,2/27/2025,855951
Department of State,2/27/2025,838677
Department of State,2/27/2025,800000
Department of State,2/27/2025,750000
Department of State,2/27/2025,750000
Department of State,2/27/2025,740010
Department of State,2/27/2025,740009
Department of State,2/27/2025,700000
Department of State,2/27/2025,558564
Department of State,2/27/2025,500000
Department of State,2/27/2025,493339
Department of State,2/27/2025,493339
Department of State,2/27/2025,493339
Department of State,2/27/2025,1000000
Department of State,2/27/2025,350000
Department of State,2/27/2025,296003
Department of State,2/27/2025,275000
Department of State,2/27/2025,267821
Department of State,2/27/2025,250000
Department of State,2/27/2025,246669
Department of State,2/27/2025,242366
Department of State,2/27/2025,227351
Department of State,2/27/2025,193978
Department of State,2/27/2025,155346
Department of State,2/27/2025,143338
Department of State,2/27/2025,112295
Department of State,2/27/2025,84815
Department of State,2/27/2025,39504
Department of State,2/27/2025,35550
Department of State,2/27/2025,35000
Department of State,2/27/2025,35000
Department of State,2/27/2025,31368
Department of State,2/27/2025,25000
Department of State,2/27/2025,24994
Department of State,2/27/2025,23600
Department of State,2/27/2025,22384
Department of State,2/27/2025,1250000
Department of State,2/27/2025,18773
Department of State,2/27/2025,15543
Department of State,2/27/2025,14907
Department of State,2/27/2025,14642
Department of State,2/27/2025,14130
Department of State,2/27/2025,12000
Department of State,2/27/2025,12000
Department of Health and Human Services,2/28/2025,2368492
Department of Health and Human Services,2/28/2025,1739936
Department of Health and Human Services,2/28/2025,1344044
Department of Health and Human Services,2/28/2025,1125000
Department of Health and Human Services,2/28/2025,1080149
Department of Health and Human Services,2/28/2025,648444
Department of Health and Human Services,2/28/2025,426660
Department of Health and Human Services,2/28/2025,397892
Department of Health and Human Services,2/28/2025,362818
Department of Health and Human Services,2/28/2025,240544
Department of Health and Human Services,2/28/2025,188746
Department of Health and Human Services,2/28/2025,180704
Department of Health and Human Services,2/28/2025,159646
Department of Health and Human Services,2/28/2025,142182
Department of Health and Human Services,2/28/2025,135000
Department of Health and Human Services,2/28/2025,120174
Department of Health and Human Services,2/28/2025,117000
Department of Health and Human Services,2/28/2025,99998
Department of Health and Human Services,2/28/2025,2000
USAID,3/1/2025,4990297
USAID,3/1/2025,11447250
USAID,3/1/2025,60000000
USAID,3/1/2025,85000000
USAID,3/1/2025,10000000
USAID,3/1/2025,12500000
USAID,3/1/2025,10400000
USAID,3/1/2025,19499932
USAID,3/1/2025,19610209
USAID,3/1/2025,15000000
USAID,3/1/2025,15000000
USAID,3/1/2025,6150000
USAID,3/1/2025,13000000
USAID,3/1/2025,16000000
USAID,3/1/2025,7500000
USAID,3/1/2025,13180808
USAID,3/1/2025,15000000
USAID,3/1/2025,23000000
USAID,3/1/2025,24999996
USAID,3/1/2025,28400000
USAID,3/1/2025,6500000
USAID,3/1/2025,6500000
USAID,3/1/2025,74900000
USAID,3/1/2025,8699992
USAID,3/1/2025,19950000
USAID,3/1/2025,20000000
USAID,3/1/2025,10000000
USAID,3/1/2025,19000000
USAID,3/1/2025,25000000
USAID,3/1/2025,6420000
USAID,3/1/2025,18221339
USAID,3/1/2025,18500000
USAID,3/1/2025,11189659
USAID,3/1/2025,6645455
USAID,3/1/2025,40000000
USAID,3/1/2025,35000000
USAID,3/1/2025,18999710
USAID,3/1/2025,23998650
USAID,3/1/2025,15000000
USAID,3/1/2025,5514000
USAID,3/1/2025,17346000
USAID,3/1/2025,14300000
USAID,3/1/2025,14660000
USAID,3/1/2025,16400000
USAID,3/1/2025,15000000
USAID,3/1/2025,29988896
USAID,3/1/2025,30000000
USAID,3/1/2025,35000000
USAID,3/1/2025,15000000
USAID,3/1/2025,18344644
USAID,3/1/2025,6568590
USAID,3/1/2025,5700000
USAID,3/1/2025,16000000
USAID,3/1/2025,6749679
USAID,3/1/2025,7702376
USAID,3/1/2025,25000000
USAID,3/1/2025,25000000
USAID,3/1/2025,11091143
USAID,3/1/2025,10000000
USAID,3/1/2025,15600000
USAID,3/1/2025,14599485
USAID,3/1/2025,14000000
USAID,3/1/2025,11530000
USAID,3/1/2025,29500000
USAID,3/1/2025,9800000
USAID,3/1/2025,39997824
USAID,3/1/2025,10100000
USAID,3/1/2025,28000000
USAID,3/1/2025,11649983
USAID,3/1/2025,12000000
USAID,3/1/2025,18000000
USAID,3/1/2025,12000000
USAID,3/1/2025,11000000
USAID,3/1/2025,19996912
USAID,3/1/2025,20000000
USAID,3/1/2025,56470286
USAID,3/1/2025,14989027
USAID,3/1/2025,9900000
USAID,3/1/2025,47000000
USAID,3/1/2025,9269317
USAID,3/1/2025,12514730
USAID,3/1/2025,10900000
USAID,3/1/2025,17000000
USAID,3/1/2025,14400000
USAID,3/1/2025,23000000
USAID,3/1/2025,10366746
USAID,3/1/2025,21499999
USAID,3/1/2025,18000000
USAID,3/1/2025,50000000
USAID,3/1/2025,4999968
USAID,3/1/2025,14000000
USAID,3/1/2025,17000000
USAID,3/1/2025,12200000
USAID,3/1/2025,3442238
USAID,3/1/2025,11600000
USAID,3/1/2025,4717590
USAID,3/1/2025,5634999
USAID,3/1/2025,4700000
USAID,3/1/2025,4184795
USAID,3/1/2025,15756988
USAID,3/1/2025,4643673
USAID,3/1/2025,4115446
USAID,3/1/2025,18250000
USAID,3/1/2025,17299916
USAID,3/1/2025,9998644
USAID,3/1/2025,2374231
USAID,3/1/2025,4792898
USAID,3/1/2025,22994812
USAID,3/1/2025,3121159
USAID,3/1/2025,35941985
USAID,3/1/2025,31000000
USAID,3/1/2025,35000000
USAID,3/1/2025,15800000
USAID,3/1/2025,12000000
USAID,3/1/2025,22703546
USAID,3/1/2025,5923589
USAID,3/1/2025,159999311
USAID,3/1/2025,6500000
USAID,3/1/2025,2100000
USAID,3/1/2025,34998729
USAID,3/1/2025,3200000
USAID,3/1/2025,23000000
USAID,3/1/2025,100000000
USAID,3/1/2025,29987640
USAID,3/1/2025,23000000
USAID,3/1/2025,75000000
USAID,3/1/2025,11000000
USAID,3/1/2025,15000000
USAID,3/1/2025,19788364
USAID,3/1/2025,11852134
USAID,3/1/2025,34722274
USAID,3/1/2025,7500000
USAID,3/1/2025,20643171
USAID,3/1/2025,16000000
USAID,3/1/2025,30000000
USAID,3/1/2025,39999796
USAID,3/1/2025,21955334
USAID,3/1/2025,7457587
USAID,3/1/2025,8891213
USAID,3/1/2025,29999760
USAID,3/1/2025,99567644
USAID,3/1/2025,27650000
USAID,3/1/2025,100000
USAID,3/1/2025,750000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,3191101
USAID,3/1/2025,18000000
USAID,3/1/2025,28595192
USAID,3/1/2025,140000000
USAID,3/1/2025,39827527
USAID,3/1/2025,18987608
USAID,3/1/2025,29997925
USAID,3/1/2025,16474565
USAID,3/1/2025,6037311
USAID,3/1/2025,20000000
USAID,3/1/2025,4000000
USAID,3/1/2025,9999995
USAID,3/1/2025,4595250
USAID,3/1/2025,9978341
USAID,3/1/2025,134768664
USAID,3/1/2025,15000000
USAID,3/1/2025,5325000
USAID,3/1/2025,7625000
USAID,3/1/2025,13700000
USAID,3/1/2025,17000000
USAID,3/1/2025,13417331
USAID,3/1/2025,7895000
USAID,3/1/2025,504276
USAID,3/1/2025,1500000
USAID,3/1/2025,1382140
USAID,3/1/2025,170613
USAID,3/1/2025,200000
USAID,3/1/2025,1500000
USAID,3/1/2025,200000
USAID,3/1/2025,200000
USAID,3/1/2025,635000
USAID,3/1/2025,3500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1416727
USAID,3/1/2025,368000
USAID,3/1/2025,2750000
USAID,3/1/2025,1580000
USAID,3/1/2025,1498437
USAID,3/1/2025,150000
USAID,3/1/2025,3550000
USAID,3/1/2025,1495800
USAID,3/1/2025,715000
USAID,3/1/2025,1284800
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,25000000
USAID,3/1/2025,5000000
USAID,3/1/2025,32900000
USAID,3/1/2025,10000000
USAID,3/1/2025,19999891
USAID,3/1/2025,2499984
USAID,3/1/2025,30000000
USAID,3/1/2025,2499919
USAID,3/1/2025,205000000
USAID,3/1/2025,34795763
USAID,3/1/2025,1999627
USAID,3/1/2025,200000000
USAID,3/1/2025,9130627
USAID,3/1/2025,6500000
USAID,3/1/2025,19999463
USAID,3/1/2025,6040777
USAID,3/1/2025,4981319
USAID,3/1/2025,10000000
USAID,3/1/2025,10000000
USAID,3/1/2025,9000000
USAID,3/1/2025,5000000
USAID,3/1/2025,12360800
USAID,3/1/2025,6500000
USAID,3/1/2025,5999220
USAID,3/1/2025,14998676
USAID,3/1/2025,40000000
USAID,3/1/2025,1450048
USAID,3/1/2025,1500000
USAID,3/1/2025,1498087
USAID,3/1/2025,1864490
USAID,3/1/2025,1273240
USAID,3/1/2025,2100000
USAID,3/1/2025,900000
USAID,3/1/2025,2000000
USAID,3/1/2025,1105982
USAID,3/1/2025,5000000
USAID,3/1/2025,199646
USAID,3/1/2025,1320000
USAID,3/1/2025,395000
USAID,3/1/2025,1500000
USAID,3/1/2025,1328442
USAID,3/1/2025,1510000
USAID,3/1/2025,851887
USAID,3/1/2025,1498145
USAID,3/1/2025,840030
USAID,3/1/2025,200000
USAID,3/1/2025,600000
USAID,3/1/2025,200000
USAID,3/1/2025,500000
USAID,3/1/2025,197000
USAID,3/1/2025,200000
USAID,3/1/2025,1500000
USAID,3/1/2025,1497850
USAID,3/1/2025,871178
USAID,3/1/2025,1500000
USAID,3/1/2025,170000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,20000000
USAID,3/1/2025,200000
USAID,3/1/2025,88250000
USAID,3/1/2025,4880223
USAID,3/1/2025,6000000
USAID,3/1/2025,9100000
USAID,3/1/2025,75000000
USAID,3/1/2025,30000000
USAID,3/1/2025,1499938
USAID,3/1/2025,16999563
USAID,3/1/2025,1499998
USAID,3/1/2025,11600000
USAID,3/1/2025,8731598
USAID,3/1/2025,8000000
USAID,3/1/2025,9010911
USAID,3/1/2025,4946624
USAID,3/1/2025,9352907
USAID,3/1/2025,6406762
USAID,3/1/2025,99500000
USAID,3/1/2025,4000000
USAID,3/1/2025,47000000
USAID,3/1/2025,45644355
USAID,3/1/2025,44996978
USAID,3/1/2025,8000000
USAID,3/1/2025,90000000
USAID,3/1/2025,9999808
USAID,3/1/2025,33600000
USAID,3/1/2025,20000000
USAID,3/1/2025,9443228
USAID,3/1/2025,10000000
USAID,3/1/2025,2000000
USAID,3/1/2025,2000000
USAID,3/1/2025,2000000
USAID,3/1/2025,747500
USAID,3/1/2025,200000
USAID,3/1/2025,196000
USAID,3/1/2025,1211034
USAID,3/1/2025,1500000
USAID,3/1/2025,200000
USAID,3/1/2025,1483431
USAID,3/1/2025,200000
USAID,3/1/2025,200000
USAID,3/1/2025,200000
USAID,3/1/2025,1500000
USAID,3/1/2025,749743
USAID,3/1/2025,1500000
USAID,3/1/2025,943000
USAID,3/1/2025,5250000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,195000
USAID,3/1/2025,200000
USAID,3/1/2025,1200000
USAID,3/1/2025,600000
USAID,3/1/2025,650000
USAID,3/1/2025,350000
USAID,3/1/2025,2000000
USAID,3/1/2025,249000
USAID,3/1/2025,1750000
USAID,3/1/2025,2000000
USAID,3/1/2025,80000
USAID,3/1/2025,55000
USAID,3/1/2025,20000
USAID,3/1/2025,24000
USAID,3/1/2025,39000
USAID,3/1/2025,75000
USAID,3/1/2025,25000
USAID,3/1/2025,78000
USAID,3/1/2025,70000
USAID,3/1/2025,50000
USAID,3/1/2025,70000
USAID,3/1/2025,55000
USAID,3/1/2025,45000
USAID,3/1/2025,20000
USAID,3/1/2025,18000
USAID,3/1/2025,750000
USAID,3/1/2025,1000000
USAID,3/1/2025,1998942
USAID,3/1/2025,25000000
USAID,3/1/2025,5086751
USAID,3/1/2025,8500000
USAID,3/1/2025,29000000
USAID,3/1/2025,8500000
USAID,3/1/2025,8500000
USAID,3/1/2025,8500000
USAID,3/1/2025,8500000
USAID,3/1/2025,5999943
USAID,3/1/2025,8500000
USAID,3/1/2025,8500000
USAID,3/1/2025,8500000
USAID,3/1/2025,500000
USAID,3/1/2025,44983856
USAID,3/1/2025,10000000
USAID,3/1/2025,170000
USAID,3/1/2025,75000000
USAID,3/1/2025,8000000
USAID,3/1/2025,8000000
USAID,3/1/2025,30000000
USAID,3/1/2025,2500000
USAID,3/1/2025,25000000
USAID,3/1/2025,55000000
USAID,3/1/2025,90000000
USAID,3/1/2025,2000000
USAID,3/1/2025,1992992
USAID,3/1/2025,2000000
USAID,3/1/2025,12499981
USAID,3/1/2025,1305477
USAID,3/1/2025,89871670
USAID,3/1/2025,321500000
USAID,3/1/2025,6000000
USAID,3/1/2025,6750000
USAID,3/1/2025,2142278
USAID,3/1/2025,488000
USAID,3/1/2025,910000
USAID,3/1/2025,450000
USAID,3/1/2025,200000
USAID,3/1/2025,200000
USAID,3/1/2025,200000
USAID,3/1/2025,1300000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1350000
USAID,3/1/2025,1500000
USAID,3/1/2025,200000
USAID,3/1/2025,900000
USAID,3/1/2025,1279000
USAID,3/1/2025,1500000
USAID,3/1/2025,775275
USAID,3/1/2025,950000
USAID,3/1/2025,600000
USAID,3/1/2025,200000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1000000
USAID,3/1/2025,100000
USAID,3/1/2025,900000
USAID,3/1/2025,950000
USAID,3/1/2025,1400000
USAID,3/1/2025,5000000
USAID,3/1/2025,5000000
USAID,3/1/2025,500000
USAID,3/1/2025,500000
USAID,3/1/2025,1441385
USAID,3/1/2025,6990932
USAID,3/1/2025,1500000
USAID,3/1/2025,3500000
USAID,3/1/2025,2030000
USAID,3/1/2025,5485000
USAID,3/1/2025,20000000
USAID,3/1/2025,37000000
USAID,3/1/2025,41250000
USAID,3/1/2025,325000000
USAID,3/1/2025,50000000
USAID,3/1/2025,75000000
USAID,3/1/2025,49852000
USAID,3/1/2025,167000000
USAID,3/1/2025,4000000000
USAID,3/1/2025,500000000
USAID,3/1/2025,2630000000
USAID,3/1/2025,450000000
USAID,3/1/2025,5000000
USAID,3/1/2025,10000000
USAID,3/1/2025,10892431
USAID,3/1/2025,7136738
USAID,3/1/2025,2000000
USAID,3/1/2025,7425000
USAID,3/1/2025,5000000
USAID,3/1/2025,2000000
USAID,3/1/2025,977681
USAID,3/1/2025,20000000
USAID,3/1/2025,2000000
USAID,3/1/2025,2000000
USAID,3/1/2025,1995812
USAID,3/1/2025,2000000
USAID,3/1/2025,15000000
USAID,3/1/2025,3300000
USAID,3/1/2025,5000000
USAID,3/1/2025,986200
USAID,3/1/2025,10000000
USAID,3/1/2025,2200000
USAID,3/1/2025,2250000
USAID,3/1/2025,14996730
USAID,3/1/2025,10000000
USAID,3/1/2025,2800000
USAID,3/1/2025,25000000
USAID,3/1/2025,815387
USAID,3/1/2025,475000
USAID,3/1/2025,13999911
USAID,3/1/2025,9494979
USAID,3/1/2025,2250000
USAID,3/1/2025,17000000
USAID,3/1/2025,10000000
USAID,3/1/2025,14000000
USAID,3/1/2025,14000000
USAID,3/1/2025,13995157
USAID,3/1/2025,22460000
USAID,3/1/2025,18000000
USAID,3/1/2025,10150000
USAID,3/1/2025,7999542
USAID,3/1/2025,3750000
USAID,3/1/2025,7390762
USAID,3/1/2025,5000000
USAID,3/1/2025,2300000
USAID,3/1/2025,3350000
USAID,3/1/2025,14996400
USAID,3/1/2025,10000000
USAID,3/1/2025,12000000
USAID,3/1/2025,2000000
USAID,3/1/2025,1999999
USAID,3/1/2025,6461340
USAID,3/1/2025,10000000
USAID,3/1/2025,2350000
USAID,3/1/2025,218000
USAID,3/1/2025,35499961
USAID,3/1/2025,3000000
USAID,3/1/2025,1499768
USAID,3/1/2025,249719
USAID,3/1/2025,1052348
USAID,3/1/2025,3500000
USAID,3/1/2025,18000000
USAID,3/1/2025,3000000
USAID,3/1/2025,7500000
USAID,3/1/2025,15000000
USAID,3/1/2025,95125000
USAID,3/1/2025,19974249
USAID,3/1/2025,58000000
USAID,3/1/2025,25000000
USAID,3/1/2025,93141587
USAID,3/1/2025,2500000
USAID,3/1/2025,8000000
USAID,3/1/2025,10000000
USAID,3/1/2025,25000000
USAID,3/1/2025,10000000
USAID,3/1/2025,1999728
USAID,3/1/2025,2041914
USAID,3/1/2025,1420368
USAID,3/1/2025,1531310
USAID,3/1/2025,749868
USAID,3/1/2025,999408
USAID,3/1/2025,2049729
USAID,3/1/2025,1982367
USAID,3/1/2025,999996
USAID,3/1/2025,11000000
USAID,3/1/2025,9999998
USAID,3/1/2025,5998487
USAID,3/1/2025,1300000
USAID,3/1/2025,849919
USAID,3/1/2025,4998069
USAID,3/1/2025,10000000
USAID,3/1/2025,5730621
USAID,3/1/2025,2000000
USAID,3/1/2025,15000000
USAID,3/1/2025,3999896
USAID,3/1/2025,617012
USAID,3/1/2025,80000
USAID,3/1/2025,1878885
USAID,3/1/2025,11000000
USAID,3/1/2025,498370
USAID,3/1/2025,1790568
USAID,3/1/2025,1800000
USAID,3/1/2025,12800000
USAID,3/1/2025,1999842
USAID,3/1/2025,450000
USAID,3/1/2025,10000000
USAID,3/1/2025,6077652
USAID,3/1/2025,4257219
USAID,3/1/2025,4000000
USAID,3/1/2025,1997987
USAID,3/1/2025,5000000
USAID,3/1/2025,1999999
USAID,3/1/2025,9999508
USAID,3/1/2025,3990485
USAID,3/1/2025,8000000
USAID,3/1/2025,2000000
USAID,3/1/2025,5000000
USAID,3/1/2025,3000000
USAID,3/1/2025,900000
USAID,3/1/2025,50000
USAID,3/1/2025,800000
USAID,3/1/2025,100000
USAID,3/1/2025,250000
USAID,3/1/2025,350000
USAID,3/1/2025,47982442
USAID,3/1/2025,23497661
USAID,3/1/2025,5428363
USAID,3/1/2025,22416258
USAID,3/1/2025,34860664
USAID,3/1/2025,1565304
USAID,3/1/2025,49500000
USAID,3/1/2025,39000000
USAID,3/1/2025,43400000
USAID,3/1/2025,1800000
USAID,3/1/2025,86000000
USAID,3/1/2025,2048689
USAID,3/1/2025,85000000
USAID,3/1/2025,7400606
USAID,3/1/2025,15000000
USAID,3/1/2025,10000000
USAID,3/1/2025,3363987
USAID,3/1/2025,8034228
USAID,3/1/2025,28848414
USAID,3/1/2025,20000000
USAID,3/1/2025,2000000
USAID,3/1/2025,24997251
USAID,3/1/2025,1000000
USAID,3/1/2025,20000000
USAID,3/1/2025,13999990
USAID,3/1/2025,38328100
USAID,3/1/2025,13000000
USAID,3/1/2025,10000000
USAID,3/1/2025,7550000
USAID,3/1/2025,2550000
USAID,3/1/2025,500000
USAID,3/1/2025,12000000
USAID,3/1/2025,29915900
USAID,3/1/2025,5200000
USAID,3/1/2025,14000000
USAID,3/1/2025,9000000
USAID,3/1/2025,48000000
USAID,3/1/2025,50000000
USAID,3/1/2025,1349862
USAID,3/1/2025,3294202
USAID,3/1/2025,2200000
USAID,3/1/2025,3330013
USAID,3/1/2025,2210000
USAID,3/1/2025,5000000
USAID,3/1/2025,4500000
USAID,3/1/2025,2561108
USAID,3/1/2025,2336172
USAID,3/1/2025,5000000
USAID,3/1/2025,500000
USAID,3/1/2025,1611040
USAID,3/1/2025,35000000
USAID,3/1/2025,2448067
USAID,3/1/2025,4439382
USAID,3/1/2025,2204435
USAID,3/1/2025,49500000
USAID,3/1/2025,1343584
USAID,3/1/2025,500000
USAID,3/1/2025,500000
USAID,3/1/2025,1207000
USAID,3/1/2025,500000
USAID,3/1/2025,540000
USAID,3/1/2025,55000000
USAID,3/1/2025,3126744
USAID,3/1/2025,2500000
USAID,3/1/2025,3063358
USAID,3/1/2025,395000
USAID,3/1/2025,499990
USAID,3/1/2025,1200000
USAID,3/1/2025,60000000
USAID,3/1/2025,14935752
USAID,3/1/2025,28338901
USAID,3/1/2025,25884633
USAID,3/1/2025,80000000
USAID,3/1/2025,27284620
USAID,3/1/2025,4935797
USAID,3/1/2025,4500000
USAID,3/1/2025,5500000
USAID,3/1/2025,13000000
USAID,3/1/2025,35000000
USAID,3/1/2025,1000000
USAID,3/1/2025,500000
USAID,3/1/2025,5000000
USAID,3/1/2025,20000000
USAID,3/1/2025,296296
USAID,3/1/2025,14000000
USAID,3/1/2025,5132398
USAID,3/1/2025,5000000
USAID,3/1/2025,1999547
USAID,3/1/2025,1000000
USAID,3/1/2025,1000000
USAID,3/1/2025,4000000
USAID,3/1/2025,1498528
USAID,3/1/2025,3928504
USAID,3/1/2025,1578104
USAID,3/1/2025,3572465
USAID,3/1/2025,19000000
USAID,3/1/2025,17700000
USAID,3/1/2025,16200000
USAID,3/1/2025,14500000
USAID,3/1/2025,6000000
USAID,3/1/2025,7000000
USAID,3/1/2025,1749964
USAID,3/1/2025,17000000
USAID,3/1/2025,9200000
USAID,3/1/2025,14499998
USAID,3/1/2025,24949644
USAID,3/1/2025,2680000
USAID,3/1/2025,27400000
USAID,3/1/2025,6301114
USAID,3/1/2025,30000000
USAID,3/1/2025,15000000
USAID,3/1/2025,2500000
USAID,3/1/2025,5000000
USAID,3/1/2025,1200000
USAID,3/1/2025,5000000
USAID,3/1/2025,7000000
USAID,3/1/2025,8000000
USAID,3/1/2025,5000000
USAID,3/1/2025,2000000
USAID,3/1/2025,30000000
USAID,3/1/2025,2368742
USAID,3/1/2025,1516271
USAID,3/1/2025,1114987
USAID,3/1/2025,5000000
USAID,3/1/2025,58068727
USAID,3/1/2025,14030795
USAID,3/1/2025,12000000
USAID,3/1/2025,3999979
USAID,3/1/2025,3999718
USAID,3/1/2025,4000000
USAID,3/1/2025,4500000
USAID,3/1/2025,20499087
USAID,3/1/2025,20500000
USAID,3/1/2025,3999843
USAID,3/1/2025,4000000
USAID,3/1/2025,17998792
USAID,3/1/2025,2425197
USAID,3/1/2025,4125942
USAID,3/1/2025,1000000
USAID,3/1/2025,7000000
USAID,3/1/2025,15000000
USAID,3/1/2025,39999931
USAID,3/1/2025,8070105
USAID,3/1/2025,12000000
USAID,3/1/2025,48000000
USAID,3/1/2025,15000000
USAID,3/1/2025,15000000
USAID,3/1/2025,60000000
USAID,3/1/2025,35000000
USAID,3/1/2025,22902495
USAID,3/1/2025,20000000
USAID,3/1/2025,40743534
USAID,3/1/2025,7448437
USAID,3/1/2025,8000000
USAID,3/1/2025,3880880
USAID,3/1/2025,2830472
USAID,3/1/2025,40000000
USAID,3/1/2025,5000000
USAID,3/1/2025,8000000
USAID,3/1/2025,8000000
USAID,3/1/2025,2000000
USAID,3/1/2025,2000000
USAID,3/1/2025,2000000
USAID,3/1/2025,1999334
USAID,3/1/2025,10000000
USAID,3/1/2025,38000000
USAID,3/1/2025,15000000
USAID,3/1/2025,11300000
USAID,3/1/2025,14200000
USAID,3/1/2025,25000000
USAID,3/1/2025,2900000
USAID,3/1/2025,21359061
USAID,3/1/2025,249500
USAID,3/1/2025,8000000
USAID,3/1/2025,48000000
USAID,3/1/2025,1997520
USAID,3/1/2025,6500000
USAID,3/1/2025,1447638
USAID,3/1/2025,611566
USAID,3/1/2025,2500000
USAID,3/1/2025,21500000
USAID,3/1/2025,1499998
USAID,3/1/2025,2400000
USAID,3/1/2025,150000
USAID,3/1/2025,300000
USAID,3/1/2025,16297937
USAID,3/1/2025,1641935
USAID,3/1/2025,7000000
USAID,3/1/2025,16000000
USAID,3/1/2025,20826788
USAID,3/1/2025,13000000
USAID,3/1/2025,8500000
USAID,3/1/2025,5000000
USAID,3/1/2025,1500000
USAID,3/1/2025,1000000
USAID,3/1/2025,5000000
USAID,3/1/2025,2500000
USAID,3/1/2025,7000000
USAID,3/1/2025,12000000
USAID,3/1/2025,1250000
USAID,3/1/2025,2000000
USAID,3/1/2025,10000000
USAID,3/1/2025,3000000
USAID,3/1/2025,7500000
USAID,3/1/2025,15000000
USAID,3/1/2025,2007900
USAID,3/1/2025,1000000
USAID,3/1/2025,37928842
USAID,3/1/2025,28000000
USAID,3/1/2025,58000000
USAID,3/1/2025,30000000
USAID,3/1/2025,1800000
USAID,3/1/2025,1800000
USAID,3/1/2025,2500000
USAID,3/1/2025,8500000
USAID,3/1/2025,30000000
USAID,3/1/2025,6500000
USAID,3/1/2025,12200000
USAID,3/1/2025,2900000
USAID,3/1/2025,10000000
USAID,3/1/2025,14000000
USAID,3/1/2025,2000000
USAID,3/1/2025,5000000
USAID,3/1/2025,100000
USAID,3/1/2025,32948716
USAID,3/1/2025,8766778
USAID,3/1/2025,23500000
USAID,3/1/2025,15819870
USAID,3/1/2025,7980500
USAID,3/1/2025,28000000
USAID,3/1/2025,4000000
USAID,3/1/2025,6500000
USAID,3/1/2025,3422873
USAID,3/1/2025,25299695
USAID,3/1/2025,11930000
USAID,3/1/2025,4000000
USAID,3/1/2025,16499709
USAID,3/1/2025,19778865
USAID,3/1/2025,15000000
USAID,3/1/2025,20000000
USAID,3/1/2025,12500000
USAID,3/1/2025,1529911
USAID,3/1/2025,5275678
USAID,3/1/2025,18500000
USAID,3/1/2025,1000000
USAID,3/1/2025,637082
USAID,3/1/2025,934286
USAID,3/1/2025,25996330
USAID,3/1/2025,1000000
USAID,3/1/2025,35400000
USAID,3/1/2025,35000000
USAID,3/1/2025,30000000
USAID,3/1/2025,1500000
USAID,3/1/2025,600000
USAID,3/1/2025,250000
USAID,3/1/2025,400000
USAID,3/1/2025,12228631
USAID,3/1/2025,10000000
USAID,3/1/2025,9999550
USAID,3/1/2025,3499684
USAID,3/1/2025,6000000
USAID,3/1/2025,10000000
USAID,3/1/2025,14999081
USAID,3/1/2025,502000
USAID,3/1/2025,4498620
USAID,3/1/2025,10000000
USAID,3/1/2025,1000000
USAID,3/1/2025,1797620
USAID,3/1/2025,600000
USAID,3/1/2025,500000
USAID,3/1/2025,4999992
USAID,3/1/2025,5000000
USAID,3/1/2025,5000000
USAID,3/1/2025,1300000
USAID,3/1/2025,2000000
USAID,3/1/2025,8671000
USAID,3/1/2025,12911000
USAID,3/1/2025,6224200
USAID,3/1/2025,6345000
USAID,3/1/2025,5368927
USAID,3/1/2025,22243221
USAID,3/1/2025,36174669
USAID,3/1/2025,9286619
USAID,3/1/2025,1694091
USAID,3/1/2025,5891131
USAID,3/1/2025,19899819
USAID,3/1/2025,50000000
USAID,3/1/2025,23000000
USAID,3/1/2025,60000000
USAID,3/1/2025,70000000
USAID,3/1/2025,8000000
USAID,3/1/2025,650000
USAID,3/1/2025,6500000
USAID,3/1/2025,4499762
